product_id,product_name,category,review_text,rating,timestamp,reviewer_id,language_type
P10000,Oppo A78,iOS Phone,"Premium feel, budget-level performance. I am talking about the Oppo A78.",2,2024-10-25 01:06:00,R8699,Hinglish
P10001,Motorola Edge 40,Smartphone,Storage fills up too quickly for normal use. My Motorola Edge 40 experience was bad.,1,2024-09-27 21:20:00,R4824,Hinglish
P10002,Poco X6 Pro,Mobile Phone,"Amazing phone, it freezes every time I open an app. I am talking about the Poco X6 Pro.",1,2024-09-29 04:51:00,R3441,English
P10003,Realme GT 6,Android Phone,"Top-class device, because waiting is now my new hobby. I am talking about the Realme GT 6.",2,2024-05-07 15:59:00,R8195,Hindi-English
P10004,Realme Narzo 60,iOS Phone,Gaming works really well without much heating. I liked the Realme Narzo 60.,5,2024-03-23 20:24:00,R8172,English
P10005,Realme Narzo 60,Smartphone,The device heats up too much after short use. My Realme Narzo 60 experience was bad.,1,2024-08-22 23:00:00,R2496,English
P10006,Xiaomi 13 Pro,iOS Phone,Performance is smooth and apps open quickly. I liked the Xiaomi 13 Pro.,5,2025-10-29 15:05:00,R9502,Hindi-English
P10007,Motorola G84,Smartphone,"Wonderful device, except for the constant heating. I am talking about the Motorola G84.",1,2024-12-22 13:56:00,R8700,Hindi-English
P10008,Xiaomi 13 Pro,Android Phone,Charging speed is slower than expected. My Xiaomi 13 Pro experience was bad.,1,2025-05-22 09:50:00,R7744,Tamil-English
P10009,Motorola Edge 40,Smartphone,Storage fills up too quickly for normal use. My Motorola Edge 40 experience was bad.,1,2024-09-15 11:02:00,R6153,English
P10010,Poco X6 Pro,iOS Phone,"Overall, a very reliable and satisfying phone. I liked the Poco X6 Pro.",5,2024-02-25 06:24:00,R7770,Hindi-English
P10011,Motorola Edge 40,Smartphone,"Premium feel, budget-level performance. I am talking about the Motorola Edge 40.",2,2024-09-30 18:44:00,R4335,Hinglish
P10012,Motorola G84,Smartphone,"Camera quality is disappointing, especially in low light. My Motorola G84 experience was bad.",2,2025-10-07 20:46:00,R1472,Hinglish
P10013,Poco X6 Pro,Smartphone,It keeps hanging and restarting randomly. My Poco X6 Pro experience was bad.,1,2024-04-05 07:40:00,R7684,English
P10014,Xiaomi Redmi Note 13,iOS Phone,It keeps hanging and restarting randomly. My Xiaomi Redmi Note 13 experience was bad.,2,2025-06-05 09:19:00,R5781,Tamil-English
