product_id,product_name,category,review_text,rating,timestamp,reviewer_id,language_type
P001,Samsung Galaxy S23,Electronics,"Excellent phone! Camera quality is top notch 📸 Battery lasts whole day easily",5,2024-01-15,R001,english
P001,Samsung Galaxy S23,Electronics,"Phone acha hai but price thoda zyada hai. Camera bahut badhiya hai 👍",4,2024-01-16,R002,hindi_english_mixed
P001,Samsung Galaxy S23,Electronics,"ಬಹಳ ಚೆನ್ನಾಗಿದೆ! Camera super aagide. Battery backup thumba good",5,2024-01-17,R003,kannada_english_mixed
P001,Samsung Galaxy S23,Electronics,"worst phone ever!!!!! hangs every 5 minuts. dont buy this peace of junk",1,2024-01-18,R004,english_with_typos
P001,Samsung Galaxy S23,Electronics,"Heating issue is terrible. Phone becomes like a heater after 10 mins of use 🔥🔥",2,2024-02-20,R005,english
P001,Samsung Galaxy S23,Electronics,"Heating problem detected within week. Gets too hot during charging and gaming",2,2024-02-22,R006,english
P001,Samsung Galaxy S23,Electronics,"Phone heats up very quickly. Heating issue makes it uncomfortable to hold",2,2024-02-25,R007,english
P001,Samsung Galaxy S23,Electronics,"Overheating is serious concern. Device getting hot even with normal usage",2,2024-02-28,R008,english
P001,Samsung Galaxy S23,Electronics,"Heating problem is unbearable. Phone burns my hand during calls",1,2024-03-02,R009,english
P001,Samsung Galaxy S23,Electronics,"Great phone but heating issue is major drawback. Otherwise perfect",3,2024-03-05,R010,english

P002,Nike Air Max Shoes,Fashion,"Comfortable shoes 👟 but size runs small. Order one size up!",4,2024-01-10,R011,english
P002,Nike Air Max Shoes,Fashion,"Shoes bahut comfortable hai. Quality bhi acchi hai. Highly recommended!",5,2024-01-12,R012,hindi_english_mixed
P002,Nike Air Max Shoes,Fashion,"ಚಪ್ಪಲಿ ತುಂಬಾ comfortable aagide but price jasti aagide",4,2024-01-13,R013,kannada_english_mixed
P002,Nike Air Max Shoes,Fashion,"worst quality fake nike. sole started coming of after 2 days only 😡",1,2024-01-14,R014,english_with_typos
P002,Nike Air Max Shoes,Fashion,"Amazing shoes! Worth every penny. Quality is superb 💯",5,2024-01-15,R015,english
P002,Nike Air Max Shoes,Fashion,"Shoes ache hain lekin delivery time bahut lamba tha. 2 weeks laga",3,2024-01-16,R016,hindi_english_mixed
P002,Nike Air Max Shoes,Fashion,"Nice shoes. Comfortable for long walks. Good cushioning support",4,2024-01-17,R017,english
P002,Nike Air Max Shoes,Fashion,"Oh sure, these shoes will definitely last forever... NOT! Broke in a week 🙄",1,2024-01-18,R018,sarcastic
P002,Nike Air Max Shoes,Fashion,"Shoes super aagide! ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ. Running ke liye perfect hai",5,2024-01-19,R019,multilingual_mixed
P002,Nike Air Max Shoes,Fashion,"good shoes good shoes good shoes good shoes good shoes good shoes",4,2024-01-20,R020,repetitive_bot_like

P003,Boat Airdopes 141,Electronics,"Sound quality is mind blowing 🎵 Bass is heavy and clear. Best in budget!",5,2024-01-05,R021,english
P003,Boat Airdopes 141,Electronics,"Badhiya hai! Sound quality ekdum mast hai. Paisa vasool product",5,2024-01-06,R022,hindi_english_mixed
P003,Boat Airdopes 141,Electronics,"ಸೂಪರ್ product! Bass thumba chennagide. Value for money definitely",5,2024-01-07,R023,kannada_english_mixed
P003,Boat Airdopes 141,Electronics,"terable sound quality. cant even here properly. waist of mony",1,2024-01-08,R024,english_with_typos
P003,Boat Airdopes 141,Electronics,"Connection drops frequently 📱 Very frustrating during calls and music",2,2024-01-09,R025,english
